Order,A - URL,B - Venue Name,C - Phone,D - Venue Highlights,E - Guest Capacity,F - Address
1,https://www.wedding-spot.com/venue/8429/26-bridge/,26 Bridge,718-310-3040,"2x award winner,BYO,Valet parking",240,"26 Bridge Street , Brooklyn, NY 11201"
3,https://www.wedding-spot.com/venue/3411/belmont-mansion/,Belmont Mansion,267-736-0007,"Indoor and outdoor spaces,BYO,Valet parking",350,"2000 Belmont Mansion Drive , Philadelphia, PA 19131"
2,https://www.wedding-spot.com/venue/1400/leonards-palazzo/,Leonard's Palazzo,516-487-7900,"4x award winner,Indoor and outdoor spaces,Upgraded rentals included",1000,"555 Northern Boulevard , Great Neck, NY 11021"
4,https://www.wedding-spot.com/venue/1376/andaz-5th-avenue/,Andaz 5th Avenue,212-699-5708,"Award winner,Rentals included,Valet parking",80,"485 5th Avenue at 41st Street, New York, NY 10017"
6,https://www.wedding-spot.com/venue/817/pinecrest-country-club/,PineCrest Country Club,215-855-4113 ext. 1,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",260,"101 Country Club Drive , Lansdale, PA 19446"
7,https://www.wedding-spot.com/venue/15185/oheka-castle/,OHEKA CASTLE,631-659-1402,"Indoor and outdoor spaces,Rentals included",350,"135 West Gate Drive , Huntington, NY 11743"
5,https://www.wedding-spot.com/venue/8730/atlantis-banquets-events-long-island-aquarium/,Atlantis Banquets & Events / Long Island Aquarium,934-451-8012,"Rehearsal dinner and bridal shower,Promotion available,Accommodation offered",340,"431 East Main Street , Riverhead, NY 11901"
8,https://www.wedding-spot.com/venue/18149/the-lake-house-on-canandaigua/,The Lake House on Canandaigua,585-394-7805,"Indoor and outdoor spaces,Valet parking",200,"770 South Main Street , Canandaigua, NY 14424"
15,https://www.wedding-spot.com/venue/17480/apa-hotel-woodbridge/,APA Hotel Woodbridge,,"Accommodation offered,Upgraded rentals included,Rentals included",350,"120 Wood Avenue South Iselin, Woodbridge Township, NJ 08830"
11,https://www.wedding-spot.com/venue/2285/kimpton-eventi/,Kimpton Eventi,646-794-6838,"Award winner,Indoor and outdoor spaces,Upgraded rentals included",160,"851 6th Avenue , New York, NY 10001"
10,https://www.wedding-spot.com/venue/3673/tarrytown-house-estate/,Tarrytown House Estate,914-591-3110,"Accommodation offered,Indoor and outdoor spaces,Rentals included",350,"49 East Sunnyside Lane , Tarrytown, NY 10591"
17,https://www.wedding-spot.com/venue/2498/the-st-regis-new-york/,The St. Regis New York,212-339-6743,"Rentals included,Valet parking",220,"2 East 55th Street , New York, NY 10022"
14,https://www.wedding-spot.com/venue/2292/smooth-sailing-celebrations/,Smooth Sailing Celebrations,973-715-1091,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Upgraded rentals included",1200,"Lincoln Harbor Marina 1500 Harbor Boulevard, Weehawken, NJ 07086"
13,https://www.wedding-spot.com/venue/714/pleasantdale-chateau/,Pleasantdale Chateau,973-731-5600,"2x award winner,Indoor and outdoor spaces,Rentals included",350,"757 Eagle Rock Avenue , West Orange, NJ 07052"
9,https://www.wedding-spot.com/venue/14351/intercontinental-new-york-barclay/,InterContinental New York Barclay,,"Upgraded rentals included,Rentals included,Valet parking",350,"111 East 48th Street , New York, NY 10017"
12,https://www.wedding-spot.com/venue/703/francescas-touch-of-class-premium-luxury-yachts/,Francesca's Touch of Class - Premium Luxury Yachts,917-968-0794,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",1200,"West 41st Street West Side HWY, Pier 81, New York, NY 10036"
73,https://www.wedding-spot.com/venue/1780/moorestown-community-house/,Moorestown Community House,856-235-0326 ext. 10,"Indoor and outdoor spaces,BYO,Valet parking",200,"16 East Main Street , Moorestown, NJ 08057"
37,https://www.wedding-spot.com/venue/12618/lakewood-blueclaws-at-firstenergy-park/,Lakewood BlueClaws at FirstEnergy Park,732-901-7000 ext. 120,"Indoor and outdoor spaces,BYO,Valet parking",350,"2 Stadium Way , Lakewood, NJ 08701"
72,https://www.wedding-spot.com/venue/1696/mallard-island-yacht-club/,Mallard Island Yacht Club,908-681-9000,"Accommodation offered,Rentals included,Valet parking",250,"1450 East Bay Avenue , Manahawkin, NJ 08050"
71,https://www.wedding-spot.com/venue/1695/ashford-estate/,Ashford Estate,908-681-9000,"2x award winner,Rentals included,Valet parking",275,"637 Province Line Road , Allentown, NJ 08501"
70,https://www.wedding-spot.com/venue/1601/bonnet-island-estate/,Bonnet Island Estate,908-681-9000,"Award winner,Rentals included,Valet parking",250,"2400 East Bay Avenue , Manahawkin, NJ 08050"
69,https://www.wedding-spot.com/venue/1466/chart-house-atlantic-city/,Chart House Atlantic City,609-340-5031,"Rentals included,Valet parking",65,"Golden Nugget Hotel &amp; Casino Brigantine Boulevard, Atlantic City, NJ 08401"
67,https://www.wedding-spot.com/venue/1215/the-breakers-on-the-ocean/,The Breakers on the Ocean,732-449-7700,"Award winner,Indoor and outdoor spaces,Rentals included",220,"1507 Ocean Avenue Spring Lake, Spring Lake, NJ 07762"
68,https://www.wedding-spot.com/venue/1219/seaview-a-dolce-hotel/,"Seaview, A Dolce Hotel",609-748-7648,"Award winner,Accommodation offered,Indoor and outdoor spaces",400,"401 South New York Road , Galloway, NJ 08205"
109,https://www.wedding-spot.com/venue/1626/yachts-for-all-seasons-infinity/,Yachts For All Seasons: Infinity,212-534-6380,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",1200,"Pier 40 at Hudson River Park , New York, NY 10011"
108,https://www.wedding-spot.com/venue/13942/new-york-beach-club/,New York Beach Club,914-204-0550,"Indoor and outdoor spaces,Rentals included,Valet parking",800,"1751 Ocean Boulevard , Atlantic Beach, NY 11509"
107,https://www.wedding-spot.com/venue/12938/one-if-by-land-two-if-by-sea/,"One if by Land, Two if by Sea",212-255-8649,"Rentals included,Valet parking",140,"17 Barrow Street , New York, NY 10014"
106,https://www.wedding-spot.com/venue/13602/rooftop/,Rooftop,917-765-9616,Valet parking,100,"Private Estate Address withheld for privacy, Long Island, NY 12345"
105,https://www.wedding-spot.com/venue/16539/42west44/,42West44,212-382-6684,Rentals included,200,"42 West 44th Street , New York, NY 10036"
104,https://www.wedding-spot.com/venue/10192/the-vineyards-at-aquebogue/,The Vineyards at Aquebogue,,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",300,"978 NY-25 , Riverhead, NY 11901"
102,https://www.wedding-spot.com/venue/9840/the-inn-at-ragged-edge/,The Inn At Ragged Edge,717-496-8372,"Indoor and outdoor spaces,BYO,Valet parking",125,"1090 Ragged Edge Road , Chambersburg, PA 17202"
103,https://www.wedding-spot.com/venue/1271/old-field-club/,Old Field Club,631-751-0571 ext. 105,"Indoor and outdoor spaces,Rentals included,Valet parking",250,"86 West Meadow Road , East Setauket, NY 11733"
145,https://www.wedding-spot.com/venue/16463/workhorse-brewing-company/,Workhorse Brewing Company,,Indoor and outdoor spaces,300,"250 King Manor Dr , Prussia, PA 19406"
144,https://www.wedding-spot.com/venue/420/the-foundry/,The Foundry,718-786-7776,"Indoor and outdoor spaces,BYO,Valet parking",180,"42-38 Ninth Street , Long Island, NY 11101"
143,https://www.wedding-spot.com/venue/5502/middle-collegiate-church/,Middle Collegiate Church,,"BYO,Valet parking",325,"112 2nd Avenue , New York, NY 10003"
142,https://www.wedding-spot.com/venue/13545/beasts-bottles/,Beasts & Bottles,718-858-1095,Valet parking,90,"151 Atlantic Avenue , Brooklyn, NY 11201"
141,https://www.wedding-spot.com/venue/249/estate-at-three-village-inn/,Estate at Three Village Inn,,"Indoor and outdoor spaces,Upgraded rentals included,Valet parking",200,"150 Main Street , Stony Brook, NY 11790"
140,https://www.wedding-spot.com/venue/1617/yachts-for-all-seasons-cloud-9-iv/,Yachts For All Seasons: Cloud 9 IV,212-534-6380,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",149,"2430 FDR Drive Service Road East  , New York, NY 10010"
139,https://www.wedding-spot.com/venue/13544/atrium-dumbo/,Atrium DUMBO,718-858-1095,Valet parking,70,"15 Main Street , Brooklyn, NY 11201"
138,https://www.wedding-spot.com/venue/250/chateau-at-coindre-hall/,Chateau at Coindre Hall,,"Award winner,Indoor and outdoor spaces,Upgraded rentals included",200,"101 Browns Road , Huntington, NY 11743"
181,https://www.wedding-spot.com/venue/1614/yachts-for-all-seasons-calypso/,Yachts For All Seasons: Calypso,212-534-6380,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",34,"Pier 59 Chelsea Piers , New York, NY 10011"
180,https://www.wedding-spot.com/venue/2976/golden-pheasant-inn/,Golden Pheasant Inn,610-294-9595,"Indoor and outdoor spaces,Valet parking",100,"763 River Road , Erwinna, PA 18920"
